release_date,popularity,duration_ms,explicit,is_rock,is_pop,is_jazz,is_electronic,is_classical,is_blues,is_indie,is_hot
1995,4,246466,0,1,1,0,0,0,0,0,0
2013,39,213106,0,0,1,0,0,0,0,0,0
2000,1,141866,0,0,1,0,0,0,0,0,0
2005,39,257746,0,0,1,0,0,0,0,0,0
1977,5,208066,0,0,1,1,0,0,0,0,0
1998,0,181200,0,0,0,0,0,0,1,0,0
2008,1,224626,0,0,1,0,0,0,0,0,0
2011,1,392573,0,0,1,0,0,1,0,0,0
2007,1,170146,1,0,1,0,0,0,0,0,0
2006,58,271813,1,0,1,0,0,0,0,0,0
2020,23,173888,0,1,1,0,0,0,0,0,0
1998,54,206586,0,1,1,0,0,0,0,0,0
1983,3,349506,0,0,1,0,0,0,0,0,0
2006,0,487656,0,0,0,0,0,0,0,0,0
1980,11,371333,0,0,1,1,0,0,0,0,0
2005,21,204253,0,1,1,0,0,0,0,0,0
2009,4,264000,0,0,1,0,0,0,0,0,0
1995,1,130066,0,0,1,0,0,0,0,0,0
2006,16,220306,0,0,1,0,0,0,0,0,0
1991,15,309906,0,0,1,0,0,0,0,0,0
1995,4,246466,0,1,1,0,0,0,0,0,0
2013,39,213106,0,0,1,0,0,0,0,0,0
2008,47,215453,0,1,1,0,0,0,0,0,0
2008,16,204387,0,0,1,0,0,0,0,0,0
1986,31,282440,0,1,1,0,0,0,0,1,0
2007,27,231640,1,0,1,0,0,0,0,0,0
2006,0,170373,0,0,0,0,0,0,0,0,0
2004,1,194413,1,0,1,0,0,0,0,0,0
1987,19,156640,0,0,1,0,0,0,0,0,0
2012,0,171960,0,0,0,0,0,0,0,0,0
2007,2,371866,0,0,1,0,0,0,0,0,0
1995,2,225906,0,1,1,0,0,0,0,0,0
2009,16,214932,0,1,1,0,0,0,0,0,0
2003,0,340533,0,0,0,0,0,0,0,0,0
2007,10,248333,0,0,1,0,0,0,0,1,0
2003,2,487053,0,0,1,0,0,0,0,0,0
2010,19,111080,0,1,1,0,0,0,0,0,0
1983,1,119053,0,0,1,0,0,0,0,0,0
1990,19,293266,0,0,1,0,0,0,0,0,0
1975,5,197800,0,0,1,0,0,0,1,0,0
2007,6,211600,0,0,1,0,0,0,0,0,0
1980,25,171866,0,0,1,0,0,0,0,0,0
1994,1,182160,0,0,1,0,0,0,0,0,0
1963,62,140000,0,0,1,0,0,0,0,0,0
1990,15,230000,0,0,1,0,0,0,0,0,0
2008,0,192000,0,0,0,0,0,0,0,0,0
2006,9,221813,0,0,1,0,0,0,0,0,0
2003,0,123626,0,0,0,0,0,0,0,0,0
1991,8,176906,0,0,1,0,0,0,0,0,0
2005,0,146653,0,1,1,0,0,0,0,0,0
2008,1,176355,0,0,1,0,0,0,0,0,0
1989,28,286733,0,1,1,0,0,0,0,0,0
2004,20,312333,0,1,1,0,0,0,0,0,0
1996,46,184920,0,0,1,0,0,0,0,0,0
2018,0,167523,0,0,0,0,0,0,0,0,0
2016,0,161360,0,0,1,0,0,0,0,0,0
1998,17,209600,1,0,1,0,0,0,0,0,0
2007,0,237213,0,0,0,0,0,0,0,0,0
1996,7,390626,0,0,1,0,0,0,0,0,0
1990,31,355600,0,1,1,0,0,0,0,0,0
2010,0,190426,0,0,0,0,0,0,0,0,0
2001,0,193333,0,0,0,1,0,0,0,0,0
2008,24,253240,0,0,1,0,0,0,0,0,0
2009,0,46053,0,0,0,0,0,0,0,0,0
1984,4,248693,0,0,1,0,0,0,0,0,0
2017,47,249004,0,1,1,0,0,0,0,0,0
2010,0,228680,0,0,0,0,0,0,0,0,0
2009,3,240626,0,1,1,0,0,0,0,0,0
1967,3,87533,0,0,1,0,0,0,0,0,0
2006,0,327306,0,0,0,0,0,0,0,0,0
2004,0,265760,0,0,0,0,0,0,0,0,0
2009,0,211640,0,1,1,0,0,0,0,0,0
2001,29,159760,0,0,1,0,0,0,0,0,0
1979,26,143773,0,0,1,0,0,0,0,0,0
2004,6,208453,0,0,1,0,0,0,0,0,0
2006,23,384680,0,1,1,0,0,0,0,1,0
1991,59,173853,0,1,1,0,0,0,0,0,0
1986,8,166493,0,1,1,0,0,0,0,0,0
2006,22,250802,0,0,1,0,0,0,0,0,0
2004,15,287520,0,0,1,0,0,0,0,0,0
1973,1,294480,0,1,1,0,0,0,0,0,0
1998,3,197706,0,1,1,0,0,0,0,0,0
1983,3,257293,0,0,1,1,0,0,0,0,0
2003,25,239133,0,0,1,0,0,0,0,0,0
2005,8,241737,0,1,1,0,0,0,0,0,0
2009,1,184893,0,0,1,0,0,0,1,0,0
2007,0,174693,0,0,1,0,0,0,0,0,0
2008,9,163240,0,0,1,0,0,0,0,0,0
2006,23,384680,0,1,1,0,0,0,0,1,0
1991,59,173853,0,1,1,0,0,0,0,0,0
1986,8,166493,0,1,1,0,0,0,0,0,0
2006,22,250802,0,0,1,0,0,0,0,0,0
2004,15,287520,0,0,1,0,0,0,0,0,0
1973,1,294480,0,1,1,0,0,0,0,0,0
1998,3,197706,0,1,1,0,0,0,0,0,0
1983,3,257293,0,0,1,1,0,0,0,0,0
2003,25,239133,0,0,1,0,0,0,0,0,0
2005,8,241737,0,1,1,0,0,0,0,0,0
2009,1,184893,0,0,1,0,0,0,1,0,0
2007,0,174693,0,0,1,0,0,0,0,0,0
2008,9,163240,0,0,1,0,0,0,0,0,0
2006,2,235706,0,1,1,0,0,0,0,0,0
2003,8,76600,1,0,1,0,0,0,0,0,0
2009,40,254791,0,0,1,0,0,0,0,0,0
2000,26,240760,0,1,1,0,0,0,0,0,0
2015,67,461840,1,0,1,0,0,0,0,0,0
2004,19,538853,0,0,1,0,0,0,0,0,0
2001,24,307666,0,1,1,0,0,0,0,0,0
1963,40,169063,0,0,1,0,0,0,0,0,0
2001,0,324506,0,0,0,0,0,0,0,0,0
2006,77,212439,0,1,1,0,0,0,0,0,0
1991,25,359960,0,0,1,0,0,0,0,0,0
2006,0,266573,0,0,0,0,0,0,0,0,0
2010,3,214133,0,0,1,0,0,0,0,0,0
2005,14,159706,0,0,1,0,0,0,0,0,0
1982,19,157413,0,1,1,0,0,0,0,0,0
2007,51,211892,1,0,1,0,0,0,0,0,0
1998,31,296313,0,0,1,0,0,0,0,0,0
2009,29,241653,0,0,1,0,0,0,0,0,0
2009,0,213506,0,0,0,0,0,0,0,0,0
1995,10,215360,0,1,1,0,0,0,0,1,0
2000,58,309760,1,0,1,0,0,0,0,0,0
2002,0,27626,0,0,0,0,0,0,0,0,0
1994,15,160533,0,0,1,0,0,0,0,0,0
2009,1,148173,0,0,1,0,0,0,1,0,0
2004,1,184706,0,0,1,0,0,0,0,0,0
2011,31,119480,0,0,1,0,0,0,0,0,0
2011,0,244213,0,0,0,0,0,0,1,0,0
1982,31,117693,0,0,1,0,0,0,0,0,0
1996,9,291906,0,0,1,0,0,0,0,0,0
1984,5,236317,0,1,1,0,0,0,0,0,0
2004,4,172453,0,0,1,0,0,0,0,0,0
1999,7,302866,0,0,1,0,0,0,0,0,0
1998,4,140013,0,0,1,0,0,0,0,0,0
1979,16,220533,0,1,1,0,0,0,0,0,0
2010,3,284733,0,0,1,0,0,0,0,0,0
2006,7,292426,1,0,1,0,0,0,0,0,0
2010,19,159053,0,0,1,0,0,0,0,0,0
2000,0,102959,0,0,1,0,0,0,0,0,0
1993,12,160266,0,1,1,0,0,0,0,0,0
2004,5,340933,0,0,1,0,0,0,0,0,0
2009,2,376992,0,0,1,0,0,0,0,0,0
2006,47,209226,0,0,1,0,0,0,0,0,0
1965,6,161586,0,0,1,1,0,0,0,0,0
2004,6,160506,0,0,1,0,0,0,0,0,0
2006,26,531951,0,0,1,0,0,0,0,0,0
2002,7,596546,0,0,1,0,0,0,0,0,0
2007,6,203493,0,0,1,0,0,0,0,0,0
1990,17,210933,0,0,1,0,0,0,0,0,0
2000,29,376866,0,0,1,0,0,0,1,0,0
1976,3,312533,0,0,1,1,0,0,0,0,0
2006,0,236506,0,0,0,0,0,0,0,0,0
2004,0,405373,0,0,0,0,0,0,0,0,0
2000,18,81066,0,0,1,0,0,0,0,0,0
2007,0,173253,0,0,0,0,0,0,0,0,0
1996,46,138133,0,1,1,0,0,0,0,0,0
1999,0,199866,0,0,0,0,0,0,0,1,0
1995,18,156466,0,0,1,0,0,0,0,0,0
1982,26,112306,0,0,1,0,0,0,0,0,0
2007,2,198626,0,0,1,0,0,0,0,0,0
2007,0,218917,1,0,0,0,0,0,0,0,0
1967,18,172960,0,0,1,0,0,0,0,0,0
2007,0,251266,0,0,0,0,0,0,0,0,0
2007,13,229880,0,0,1,0,0,0,0,0,0
2017,0,140506,0,0,0,0,0,0,0,0,0
1972,39,180333,0,0,1,0,0,0,0,0,0
2022,0,173986,0,0,0,1,0,0,0,0,0
1979,27,246626,0,0,1,0,0,0,0,0,0
2004,6,155973,0,1,1,0,0,0,0,0,0
2014,0,156821,0,0,1,0,0,0,0,0,0
2007,1,166933,0,0,1,0,0,0,0,0,0
1991,37,239133,0,1,1,0,0,0,0,0,0
1991,37,303959,0,1,1,0,0,0,0,0,0
2003,5,197920,0,0,1,0,0,0,0,0,0
2005,44,221373,1,0,1,0,0,0,0,0,0
2006,9,538240,0,0,1,1,0,0,0,0,0
2009,0,318760,0,0,0,0,0,0,0,1,0
1999,6,216266,0,0,1,0,0,0,0,0,0
1974,24,230613,0,0,1,0,0,0,0,0,0
2017,1,208930,0,0,1,0,0,0,0,0,0
2001,36,333080,0,0,1,0,0,0,0,0,0
2022,0,187686,0,0,0,0,0,0,1,0,0
2005,1,175146,0,0,1,0,0,0,0,0,0
1995,0,239133,0,0,0,0,0,0,0,0,0
1980,30,264333,0,0,1,0,0,0,0,0,0
2005,27,253800,0,1,1,0,0,0,0,0,1
1937,0,191933,0,0,0,0,0,0,0,0,0
2005,3,243013,0,0,1,0,0,0,0,0,0
1996,0,283333,0,1,1,0,0,0,0,0,0
2001,54,249200,1,1,1,0,0,0,0,0,0
2019,0,343733,0,0,0,0,0,0,0,0,0
2004,8,240546,0,0,1,0,0,0,0,0,0
1975,32,201120,0,0,1,0,0,0,0,0,0
2003,1,301733,0,0,1,0,0,0,0,1,0
2001,11,147640,0,0,1,0,0,0,0,0,0
2007,0,218000,0,0,0,0,0,0,0,0,0
2000,6,257160,0,0,1,0,0,0,0,0,0
2006,0,329240,0,0,1,0,0,0,0,0,0
2004,0,284680,0,0,0,0,0,0,0,0,0
2005,32,216933,0,0,1,0,0,0,0,0,0
2006,10,140640,0,0,1,0,0,0,0,0,0
1986,0,167920,0,1,1,0,0,0,0,0,0
1996,0,224026,0,0,1,0,0,0,0,0,0
2009,0,241613,0,1,1,0,0,0,0,0,0
2006,9,236160,0,0,1,0,0,0,0,0,0
2000,8,190226,0,0,1,0,0,0,0,0,0
2024,3,231333,0,0,1,0,0,0,0,0,0
1988,36,207493,1,0,1,0,0,0,0,0,0
2007,80,219413,0,0,1,0,0,0,0,0,0
1977,9,253826,0,1,1,0,0,0,1,0,0
2005,65,165093,0,1,1,0,0,0,0,0,0
2008,0,720533,0,0,0,0,0,0,0,0,0
1978,25,267080,0,1,1,0,0,0,0,0,0
2007,75,189293,1,1,1,0,0,0,0,0,0
1991,0,166113,0,0,0,1,0,0,1,0,0
2002,6,35706,0,1,1,0,0,0,0,0,0
1991,32,221906,0,0,1,0,0,0,0,0,0
2002,8,256653,0,0,1,0,0,0,0,0,0
1988,12,200826,0,0,1,0,0,0,0,0,0
1996,31,300440,0,1,1,0,0,0,0,0,0
1967,0,235320,0,0,0,0,0,0,0,0,0
2005,3,221853,0,0,1,0,0,0,1,0,0
2006,4,399826,0,1,1,0,0,0,0,0,0
2023,15,282320,0,0,1,0,0,0,0,0,0
2010,0,167293,0,0,0,0,0,0,0,0,0
1998,9,437026,0,0,1,0,0,0,0,0,0
2021,2,375443,0,0,1,0,0,0,0,0,0
1973,16,161146,0,0,1,0,0,0,0,0,0
2019,0,176560,0,0,0,0,0,0,0,0,0
1976,21,282666,0,1,1,0,0,0,0,0,0
2009,2,192480,0,0,1,0,0,0,0,0,0
1992,16,283106,0,1,1,0,0,0,1,0,0
1990,7,226560,1,0,1,0,0,0,0,0,0
2008,0,264680,0,0,0,0,0,0,0,0,0
2008,0,143480,0,0,0,0,0,0,0,0,0
2002,44,137400,0,1,1,0,0,0,0,0,0
2008,4,301626,0,0,1,0,0,0,0,0,0
2007,10,143906,0,0,1,0,0,0,0,0,0
2009,16,246653,0,1,1,0,0,0,0,0,0
1984,45,192266,0,1,1,0,0,0,0,0,0
2003,47,275266,1,0,1,0,0,0,0,0,0
2008,9,232493,0,0,1,0,0,0,0,0,0
2008,6,297653,0,0,1,0,0,0,0,0,0
2005,1,335706,0,1,1,0,0,0,0,0,0
2024,8,368817,0,0,1,0,0,0,0,0,0
1968,3,194271,0,0,1,1,0,0,0,0,0
2009,4,252400,0,0,1,0,0,0,0,0,0
2011,49,229507,0,0,1,0,0,0,0,0,0
2011,2,278333,0,0,1,0,0,0,1,0,0
2007,5,251413,0,0,1,0,0,0,0,0,0
2020,0,285426,1,0,0,0,0,0,0,0,0
2011,0,475106,0,0,0,0,0,0,0,0,0
2009,0,245600,0,0,0,0,0,0,0,0,0
2020,0,112533,0,0,0,0,0,0,1,0,0
2009,17,157080,1,0,1,0,0,0,0,0,0
1987,45,192466,0,0,1,0,0,0,0,0,0
2007,0,199000,0,0,0,0,0,0,0,0,0
2010,0,269560,0,0,0,0,0,0,0,0,0
1995,25,206666,0,0,1,0,0,0,0,0,0
2009,0,145333,0,1,0,0,0,0,0,1,0
2021,0,192093,0,1,0,0,0,0,0,0,0
1998,9,63133,0,0,1,0,0,0,0,0,0
2000,7,213400,0,1,1,0,0,0,0,1,0
1982,8,270691,0,1,1,0,0,0,0,0,0
2004,0,214760,0,0,0,0,0,0,0,0,0
1992,22,248866,0,0,1,0,0,0,0,0,0
1998,0,224933,0,0,0,0,0,0,1,0,0
1995,12,62866,0,0,1,0,0,0,0,0,0
2010,1,319226,0,0,1,0,0,0,0,0,0
2010,8,175746,1,0,1,0,0,0,0,0,0
1995,16,143600,0,0,1,0,0,0,0,0,0
1984,0,178320,0,0,1,0,0,0,0,0,0
1988,18,322626,0,1,1,0,0,0,1,0,0
2009,15,193466,0,0,1,0,0,0,0,0,0
2004,1,259838,0,0,1,0,0,0,0,0,0
1997,55,180240,0,0,1,0,0,0,0,0,0
1990,36,191133,0,0,1,0,0,0,0,0,0
2004,23,349000,0,0,1,0,0,0,0,0,0
1986,23,234693,0,1,1,0,0,0,0,0,0
1993,3,289026,0,0,1,0,0,0,0,0,0
2001,0,338960,0,0,0,0,0,0,0,0,0
2015,0,218893,0,1,0,0,0,0,0,0,0
1988,42,253333,0,1,1,0,0,0,0,0,0
2005,0,212826,0,0,0,0,0,0,0,0,0
2008,0,248333,0,0,0,0,0,0,0,0,0
2009,0,209706,0,0,0,0,0,0,0,0,0
2023,1,143676,0,0,1,0,0,0,0,0,0
2007,0,238480,0,0,0,0,0,0,0,0,0
2007,5,215933,0,0,1,0,0,0,0,0,0
1996,19,199200,0,1,1,0,0,0,0,0,0
2005,0,34333,0,0,0,0,1,0,0,0,0
1992,25,246120,0,0,1,0,0,0,0,0,0
2012,0,246266,0,0,0,0,0,0,0,0,0
1973,25,218026,0,1,1,0,0,0,0,0,0
2002,0,217933,0,0,0,0,0,0,0,0,0
1992,53,287800,0,1,1,0,0,0,0,0,0
1999,20,207573,0,1,1,0,0,0,0,0,0
2009,18,266746,0,0,1,0,0,0,0,0,0
2009,0,283760,1,0,0,0,0,0,0,0,0
2001,2,232173,0,0,1,0,0,0,0,0,0
2009,9,197253,0,0,1,0,0,0,0,1,0
2001,0,244333,0,0,0,0,0,0,0,0,0
1997,12,161293,0,0,1,0,0,0,0,0,0
2003,11,192373,0,0,1,0,0,0,0,0,0
2005,4,249746,0,0,1,0,0,0,0,1,0
2009,24,208653,0,0,1,0,0,0,0,0,0
2006,0,188346,0,0,0,0,0,0,0,0,0
2009,0,183040,0,0,0,0,0,0,0,0,0
2009,11,227573,0,0,1,0,0,0,0,0,0
2009,3,246613,0,0,1,0,0,0,0,0,0
1999,7,381701,0,0,1,0,0,0,0,0,0
2005,8,225786,0,1,1,0,0,0,0,0,0
2023,4,212640,0,1,1,0,0,0,1,0,0
1900,44,238266,0,0,1,0,0,0,0,0,0
2006,0,142666,0,0,0,0,0,1,0,0,0
1995,68,246240,0,1,1,0,0,0,0,0,0
2006,14,243093,0,0,1,0,0,0,0,0,0
1972,22,167266,0,0,1,0,0,0,0,0,0
1994,10,195200,0,0,1,0,0,0,0,0,0
2020,0,125706,0,0,0,0,0,1,0,0,0
2007,11,189646,0,0,1,0,0,0,0,0,0
2002,0,198253,0,0,0,0,0,0,0,0,0
2000,0,128213,0,0,0,0,0,0,0,0,0
2005,0,256146,0,0,0,0,0,0,0,0,0
1997,31,382666,0,0,1,0,0,0,0,0,0
2004,24,197213,0,0,1,0,0,0,0,0,0
1900,0,324288,0,0,0,0,0,0,0,0,0
2011,2,187898,0,1,1,1,0,0,1,0,0
1981,33,92626,1,1,1,0,0,0,0,0,0
2002,19,266040,0,0,1,1,0,0,0,0,0
1995,41,337306,0,1,1,0,0,0,0,0,0
2007,12,278960,0,0,1,0,0,0,0,0,0
2001,4,263957,0,1,1,0,0,0,0,0,0
2010,0,299013,0,0,0,0,0,1,0,0,0
2009,3,187413,0,0,1,0,0,0,0,0,0
2015,0,140186,0,1,0,0,0,0,0,0,0
1995,59,306240,0,1,1,0,0,0,0,0,0
2006,4,233466,0,0,1,0,0,0,0,0,0
1990,36,261920,0,1,1,0,0,0,1,0,0
2003,0,225140,0,0,0,0,0,0,0,0,0
2005,3,124866,0,1,1,1,0,0,0,0,0
2009,0,143533,0,0,0,0,0,0,0,0,0
1997,0,175053,0,0,0,0,0,0,0,0,0
2013,10,202800,0,0,1,1,0,0,0,0,0
2007,0,273720,0,0,0,0,0,0,0,0,0
1982,31,258345,0,0,1,0,0,0,0,0,0
2007,0,400320,0,0,0,0,0,0,0,0,0
1997,4,278333,0,0,1,0,0,0,1,0,0
2000,3,157853,0,1,1,0,0,0,0,0,0
1996,12,141626,0,0,1,0,0,0,0,0,0
2008,22,208413,0,0,1,0,0,0,0,0,0
2003,39,208733,0,0,1,0,0,0,0,0,0
2006,13,357520,0,0,1,0,0,0,0,0,0
2008,0,193186,0,0,0,0,0,0,0,0,0
2003,46,258426,1,0,1,0,0,0,0,0,0
2007,0,241842,0,0,0,0,0,0,0,0,0
1984,24,250226,0,0,1,0,0,0,0,0,0
2008,11,271466,0,0,1,0,0,0,0,0,0
2005,1,254706,0,0,1,1,0,0,0,0,0
