spotify_title,spotify_artist,release_date,popularity,duration_ms,explicit,is_rock,is_pop,is_jazz,is_electronic,is_classical,is_blues,is_indie,is_hot
I'm Not a Loser,Descendents,2022,49,88773,1,0,1,0,0,0,0,0,0
De Paris Un Caballero,Barbarito Diez,1990,0,157913,0,0,0,0,0,0,0,0,0
La rue du babouin (feat. Maurane),Françoise Hardy,2009,5,194200,0,0,1,0,0,0,0,0,0
Big Bounce,David Arkenstone,2009,6,274040,0,0,1,0,0,0,0,0,0
Summer's Almost Gone,The Doors,1968,45,199426,0,1,1,0,0,0,0,0,0
Bubblin',Camp Lo,2016,27,242282,0,0,1,1,0,0,0,0,0
Couldn't Stand the Weather,Stevie Ray Vaughan,1984,42,281253,0,1,1,0,0,0,1,0,0
In Style,David Johansen,1979,3,247986,0,1,1,0,0,0,0,0,0
Closin' Moes,jeff massanari trio,2000,0,253866,0,0,0,0,0,0,0,0,0
Portobello Lass,Harry Lauder,2023,0,177640,0,0,0,0,0,0,0,0,0
Trumansburg Whistle,Gershon Kingsley,1969,6,180093,0,0,1,0,0,0,0,0,0
Reuben James,Kenny Rogers,1977,42,161933,0,1,1,0,0,0,0,0,0
Rock Steady - 2015 Remaster,Bad Company,1974,42,226013,0,1,1,0,0,0,0,0,0
Sporable,Winifred Phillips,2009,0,142866,0,0,0,0,0,0,0,0,0
The Waiting,Zombina & The Skeletones,2006,2,145520,0,0,1,0,0,0,0,0,0
Grey Skies Turn Blue,MxPx,2005,24,184040,0,0,1,0,0,0,0,0,0
Wraparound Shades,Zumpano,1995,1,228466,0,0,1,0,0,0,0,1,0
The Earth Isnt Humming,Thrice,2008,8,298720,0,0,1,0,0,0,0,0,0
Champion,Davol,1992,0,264093,0,0,0,0,0,0,0,0,0
Year Zero,Thirty Seconds To Mars,2002,26,472333,0,1,1,0,0,0,0,0,0
Satisfaction,WhoMadeWho,2005,17,201600,0,0,1,0,1,0,0,1,0
I Can't Help Myself,Tyrone Davis,1999,3,277426,0,0,1,0,0,0,0,0,0
King Jesus Is My Captain,Birmingham Jubilee Singers,1995,0,183223,0,0,0,0,0,0,0,0,0
I've Grown Accustomed to His Face,Shelby Flint,1966,2,121266,0,0,1,0,0,0,0,0,0
Profound Sound - Take Two Album Version,Ill Harmonics,2002,0,58986,0,0,0,0,0,0,0,0,0
She's My Mary,Lonnie Johnson,2020,0,175940,0,0,0,1,0,0,1,0,0
Livin' In a Strain,Alvin Youngblood Hart,1996,3,231066,0,0,1,0,0,0,1,0,0
The Little White Cloud That Cried,The Knightsbridge Strings,1959,0,132413,0,0,0,0,0,0,0,0,0
Amor que terminó,Los Solitarios,2013,23,179986,0,1,1,0,0,0,0,0,0
Tell Me What I Want To Hear,The Dils,2000,1,141866,0,0,1,0,0,0,0,0,0
Red Sky,Thrice,2005,39,257746,0,0,1,0,0,0,0,0,0
Above The Rainbow,Flora Purim,1977,5,208066,0,0,1,1,0,0,0,0,0
Strike While The Iron Is Hot,Kenny Neal,1998,0,181200,0,0,0,0,0,0,1,0,0
Shouther to Shouther - 1917 recording,Harry Lauder,2008,1,224626,0,0,1,0,0,0,0,0,0
Roméo et Juliette: Premiers transports que nul n'oublie,Hector Berlioz,2011,1,392573,0,0,1,0,0,1,0,0,0
Suicide (feat. Bionik),Aceyalone,2007,1,170146,1,0,1,0,0,0,0,0,0
Caribou Lou (Album Version (Explicit)),Tech N9ne,2006,58,271813,1,0,1,0,0,0,0,0,0
El Vino Triste,Los Auténticos Decadentes,2020,23,173888,0,1,1,0,0,0,0,0,0
Wishlist,Pearl Jam,1998,54,206586,0,1,1,0,0,0,0,0,0
Playboy - 12 Inch Remix,Teena Marie,1983,3,349506,0,0,1,0,0,0,0,0,0
Jugglin&#39; Clown,Christian Quast,2006,0,487656,0,0,0,0,0,0,0,0,0
Groovitation,Deodato,1980,11,371333,0,0,1,1,0,0,0,0,0
Christmas All The Time - Acoustic,Tom Cochrane,2005,21,204253,0,1,1,0,0,0,0,0,0
Role Model,Steel Pulse,2009,4,264000,0,0,1,0,0,0,0,0,0
Virtuosite Musette - Polka,Edouard Duleu,1995,1,130066,0,0,1,0,0,0,0,0,0
Since The Last Time,Arrested Development,2006,16,220306,0,0,1,0,0,0,0,0,0
Michelle,Béla Fleck and the Flecktones,1991,15,309906,0,0,1,0,0,0,0,0,0
We've Only Just Begun,Bitty McLean,1995,4,246466,0,1,1,0,0,0,0,0,0
Porque Nos Queremos - Single Version,Los Chichos,2013,39,213106,0,0,1,0,0,0,0,0,0
Tell Me What I Want To Hear,The Dils,2000,1,141866,0,0,1,0,0,0,0,0,0
Red Sky,Thrice,2005,39,257746,0,0,1,0,0,0,0,0,0
Above The Rainbow,Flora Purim,1977,5,208066,0,0,1,1,0,0,0,0,0
Strike While The Iron Is Hot,Kenny Neal,1998,0,181200,0,0,0,0,0,0,1,0,0
Shouther to Shouther - 1917 recording,Harry Lauder,2008,1,224626,0,0,1,0,0,0,0,0,0
Roméo et Juliette: Premiers transports que nul n'oublie,Hector Berlioz,2011,1,392573,0,0,1,0,0,1,0,0,0
Suicide (feat. Bionik),Aceyalone,2007,1,170146,1,0,1,0,0,0,0,0,0
Caribou Lou (Album Version (Explicit)),Tech N9ne,2006,58,271813,1,0,1,0,0,0,0,0,0
El Vino Triste,Los Auténticos Decadentes,2020,23,173888,0,1,1,0,0,0,0,0,0
Wishlist,Pearl Jam,1998,54,206586,0,1,1,0,0,0,0,0,0
Playboy - 12 Inch Remix,Teena Marie,1983,3,349506,0,0,1,0,0,0,0,0,0
Jugglin&#39; Clown,Christian Quast,2006,0,487656,0,0,0,0,0,0,0,0,0
Groovitation,Deodato,1980,11,371333,0,0,1,1,0,0,0,0,0
Christmas All The Time - Acoustic,Tom Cochrane,2005,21,204253,0,1,1,0,0,0,0,0,0
Role Model,Steel Pulse,2009,4,264000,0,0,1,0,0,0,0,0,0
Virtuosite Musette - Polka,Edouard Duleu,1995,1,130066,0,0,1,0,0,0,0,0,0
Since The Last Time,Arrested Development,2006,16,220306,0,0,1,0,0,0,0,0,0
Michelle,Béla Fleck and the Flecktones,1991,15,309906,0,0,1,0,0,0,0,0,0
We've Only Just Begun,Bitty McLean,1995,4,246466,0,1,1,0,0,0,0,0,0
Porque Nos Queremos - Single Version,Los Chichos,2013,39,213106,0,0,1,0,0,0,0,0,0
Frei zu sein,In Extremo,2008,47,215453,0,1,1,0,0,0,0,0,0
Grown & Sexy,DJ Omega,2008,16,204387,0,0,1,0,0,0,0,0,0
Épaule tattoo - 2006 Remaster,Étienne Daho,1986,31,282440,0,1,1,0,0,0,0,1,0
Goons Lurkin,Plies,2007,27,231640,1,0,1,0,0,0,0,0,0
Wolf In Sheep's Clothing,Jeff & Sheri Easter,2006,0,170373,0,0,0,0,0,0,0,0,0
Pussy Hole,DJ Nasty,2004,1,194413,1,0,1,0,0,0,0,0,0
El Cumbanchero,Günter Noris,1987,19,156640,0,0,1,0,0,0,0,0,0
El Divertido,Orquesta La Sublime,2012,0,171960,0,0,0,0,0,0,0,0,0
Blackwood Moth,Milieu,2007,2,371866,0,0,1,0,0,0,0,0,0
Dreaming Of April,Out Of The Grey,1995,2,225906,0,1,1,0,0,0,0,0,0
New Sensation,Snow Patrol,2009,16,214932,0,1,1,0,0,0,0,0,0
For The Good Times,Dart,2003,0,340533,0,0,0,0,0,0,0,0,0
Clever Girls Like Clever Boys Much More Than Clever Boys Like Clever Girls,Pelle Carlberg,2007,10,248333,0,0,1,0,0,0,0,1,0
Never Alone,Open Hand,2003,2,487053,0,0,1,0,0,0,0,0,0
Chatterbox,Sex Pistols,2010,19,111080,0,1,1,0,0,0,0,0,0
Sporco Ma Distinto,Ennio Morricone,1983,1,119053,0,0,1,0,0,0,0,0,0
Elle Et Moi,Koffi Olomide,1990,19,293266,0,0,1,0,0,0,0,0,0
Columbus Stockade Blues,Charlie McCoy,1975,5,197800,0,0,1,0,0,0,1,0,0
Damn That Radio - Live,The Wreckers,2007,6,211600,0,0,1,0,0,0,0,0,0
Camisa Amarela,Gal Costa,1980,25,171866,0,0,1,0,0,0,0,0,0
Style,Enuff Z'Nuff,1994,1,182160,0,0,1,0,0,0,0,0,0
It's My Party,Lesley Gore,1963,62,140000,0,0,1,0,0,0,0,0,0
Keep the Circle Around,Inspiral Carpets,1990,15,230000,0,0,1,0,0,0,0,0,0
Wot U Say,Various Production,2008,0,192000,0,0,0,0,0,0,0,0,0
幸災樂禍,Eason Chan,2006,9,221813,0,0,1,0,0,0,0,0,0
Birth Of The Falls,Stephen Warbeck,2003,0,123626,0,0,0,0,0,0,0,0,0
What'll I Do For Satisfaction,Johnny Daye,1991,8,176906,0,0,1,0,0,0,0,0,0
For Me This Is Happy,Gene Pitney,2005,0,146653,0,1,1,0,0,0,0,0,0
Ithaki,Peggy Zina,2008,1,176355,0,0,1,0,0,0,0,0,0
Guilty Partner - 2015 Remaster,New Order,1989,28,286733,0,1,1,0,0,0,0,0,0
Delilah,The Sensational Alex Harvey Band,2004,20,312333,0,1,1,0,0,0,0,0,0
La Rosa,Bobby Pulido,1996,46,184920,0,0,1,0,0,0,0,0,0
Our Lady of Fatima (Original Mix),Kitty Kallen,2018,0,167523,0,0,0,0,0,0,0,0,0
Syvä meri,Kari Tapio,2016,0,161360,0,0,1,0,0,0,0,0,0
I Got A Seecret,Redman,1998,17,209600,1,0,1,0,0,0,0,0,0
Te Miattad Változott Meg Az Életem,Belami,2007,0,237213,0,0,0,0,0,0,0,0,0
Banda Yango,Tshala Muana,1996,7,390626,0,0,1,0,0,0,0,0,0
Song For Love,Extreme,1990,31,355600,0,1,1,0,0,0,0,0,0
Nachts Um Halb Drei,Janina,2010,0,190426,0,0,0,0,0,0,0,0,0
Iron Man,Mat Maneri,2001,0,193333,0,0,0,1,0,0,0,0,0
"I Constantly Thank God for Esteban - Live at Congress Theater, Chicago, IL, 2008",Panic! At The Disco,2008,24,253240,0,0,1,0,0,0,0,0,0
000grandpno,Pumpkin Buzzard,2009,0,46053,0,0,0,0,0,0,0,0,0
Pai Keros,Christos Dantis,1984,4,248693,0,0,1,0,0,0,0,0,0
Tuesday Afternoon (Forever Afternoon),The Moody Blues,2017,47,249004,0,1,1,0,0,0,0,0,0
As We Lay,Fiona,2010,0,228680,0,0,0,0,0,0,0,0,0
Forever You Reign,Nicole C. Mullen,2009,3,240626,0,1,1,0,0,0,0,0,0
"Tema Da Desilusão - Trilha Sonora Do Filme ""Garota De Ipanema""",Orquestra Da Trilha Sonora Do Filme Garota De Ipanema,1967,3,87533,0,0,1,0,0,0,0,0,0
The Anthem,Hatiras,2006,0,327306,0,0,0,0,0,0,0,0,0
Disco Trafiko,Trafik,2004,0,265760,0,0,0,0,0,0,0,0,0
Rant Kanaria,Jope Ruonansuu,2009,0,211640,0,1,1,0,0,0,0,0,0
Clavelitos,Joselito,2001,29,159760,0,0,1,0,0,0,0,0,0
Tomorrows Girls,U.K. Subs,1979,26,143773,0,0,1,0,0,0,0,0,0
O Dikos Sou DJ,Imiskoubria,2004,6,208453,0,0,1,0,0,0,0,0,0
Little Brother,Grizzly Bear,2006,23,384680,0,1,1,0,0,0,0,1,0
Polly,Nirvana,1991,59,173853,0,1,1,0,0,0,0,0,0
Ol' Frank,George Jones,1986,8,166493,0,1,1,0,0,0,0,0,0
Be Aware,SOJA,2006,22,250802,0,0,1,0,0,0,0,0,0
The Chance,Julie Roberts,2004,15,287520,0,0,1,0,0,0,0,0,0
Abbeville Fair,Seatrain,1973,1,294480,0,1,1,0,0,0,0,0,0
My Life Is Totally Boring Without You,Cracker,1998,3,197706,0,1,1,0,0,0,0,0,0
Calliope,Al Di Meola,1983,3,257293,0,0,1,1,0,0,0,0,0
Aya Benzer 2003 (Moonlight) - Single Version,Mustafa Sandal,2003,25,239133,0,0,1,0,0,0,0,0,0
Fire in the Hole,The Elders,2005,8,241737,0,1,1,0,0,0,0,0,0
So Different Blues,Mance Lipscomb,2009,1,184893,0,0,1,0,0,0,1,0,0
Cuantas madres llorando,Los Chunguitos,2007,0,174693,0,0,1,0,0,0,0,0,0
Opening,Harald Kloser,2008,9,163240,0,0,1,0,0,0,0,0,0
Little Brother,Grizzly Bear,2006,23,384680,0,1,1,0,0,0,0,1,0
Polly,Nirvana,1991,59,173853,0,1,1,0,0,0,0,0,0
Ol' Frank,George Jones,1986,8,166493,0,1,1,0,0,0,0,0,0
Be Aware,SOJA,2006,22,250802,0,0,1,0,0,0,0,0,0
The Chance,Julie Roberts,2004,15,287520,0,0,1,0,0,0,0,0,0
Abbeville Fair,Seatrain,1973,1,294480,0,1,1,0,0,0,0,0,0
My Life Is Totally Boring Without You,Cracker,1998,3,197706,0,1,1,0,0,0,0,0,0
Calliope,Al Di Meola,1983,3,257293,0,0,1,1,0,0,0,0,0
Aya Benzer 2003 (Moonlight) - Single Version,Mustafa Sandal,2003,25,239133,0,0,1,0,0,0,0,0,0
Fire in the Hole,The Elders,2005,8,241737,0,1,1,0,0,0,0,0,0
So Different Blues,Mance Lipscomb,2009,1,184893,0,0,1,0,0,0,1,0,0
Cuantas madres llorando,Los Chunguitos,2007,0,174693,0,0,1,0,0,0,0,0,0
Opening,Harald Kloser,2008,9,163240,0,0,1,0,0,0,0,0,0
Lived My Life,Singing Melody,2006,2,235706,0,1,1,0,0,0,0,0,0
Dipset (Santana's Town) (Skit),Juelz Santana,2003,8,76600,1,0,1,0,0,0,0,0,0
"Do You See the Light? (Looking For) (feat. Niki Haris) (7"" Edit)",SNAP!,2009,40,254791,0,0,1,0,0,0,0,0,0
Pépètes,Java,2000,26,240760,0,1,1,0,0,0,0,0,0
3500 (feat. Future & 2 Chainz),Travis Scott,2015,67,461840,1,0,1,0,0,0,0,0,0
Save My Soul - Gabriel & Dresden Bootleg Mix,Kristine W,2004,19,538853,0,0,1,0,0,0,0,0,0
Buenos Aires (De Tus Amores),León Gieco,2001,24,307666,0,1,1,0,0,0,0,0,0
It's Four in the Morning,Faron Young,1963,40,169063,0,0,1,0,0,0,0,0,0
Song Without End,Paul Avgerinos,2001,0,324506,0,0,0,0,0,0,0,0,0
Supermassive Black Hole,Muse,2006,77,212439,0,1,1,0,0,0,0,0,0
Show Me,Seal,1991,25,359960,0,0,1,0,0,0,0,0,0
Background Music: The Greatest Ever Punk Sing-Along! - Live,The Prefects,2006,0,266573,0,0,0,0,0,0,0,0,0
Y.O.U.,Lonestar,2010,3,214133,0,0,1,0,0,0,0,0,0
6th Avenue Nightmare,Pennywise,2005,14,159706,0,0,1,0,0,0,0,0,0
Cuatro Estrofas,Sandra Mihanovich,1982,19,157413,0,1,1,0,0,0,0,0,0
Climax,Slum Village,2007,51,211892,1,0,1,0,0,0,0,0,0
Give It Up or Let Me Go,The Chicks,1998,31,296313,0,0,1,0,0,0,0,0,0
Le Chat du Café des Artistes,Charlotte Gainsbourg,2009,29,241653,0,0,1,0,0,0,0,0,0
Joy to the World,Boots Randolph,2009,0,213506,0,0,0,0,0,0,0,0,0
Don't Know How To Be,God Lives Underwater,1995,10,215360,0,1,1,0,0,0,0,1,0
I'm Back,Eminem,2000,58,309760,1,0,1,0,0,0,0,0,0
Althea Cooley,Mack and Jamie,2002,0,27626,0,0,0,0,0,0,0,0,0
Yearning Just For You,Bob Wills,1994,15,160533,0,0,1,0,0,0,0,0,0
Sincerely,Don & Juan,2009,1,148173,0,0,1,0,0,0,1,0,0
Road To Bali: The Merry-Go-Runaround,Bob Hope,2004,1,184706,0,0,1,0,0,0,0,0,0
Canción De Títeres,María Elena Walsh,2011,31,119480,0,0,1,0,0,0,0,0,0
Devil's Daughter,Eric Burdon,2011,0,244213,0,0,0,0,0,0,1,0,0
Question Authority,Circle Jerks,1982,31,117693,0,0,1,0,0,0,0,0,0
Loup Garou,Willy DeVille,1996,9,291906,0,0,1,0,0,0,0,0,0
Oh No,Daniel Johnston,1984,5,236317,0,1,1,0,0,0,0,0,0
So Many Reasons - Homecoming Classics Vol. 11 Album Version,Jake Hess,2004,4,172453,0,0,1,0,0,0,0,0,0
32 Lines,Sophie B. Hawkins,1999,7,302866,0,0,1,0,0,0,0,0,0
Dragonfly,Diesel Boy,1998,4,140013,0,0,1,0,0,0,0,0,0
Fading Lady Light,Jefferson Starship,1979,16,220533,0,1,1,0,0,0,0,0,0
The Croppy Boy,The Irish Tenors,2010,3,284733,0,0,1,0,0,0,0,0,0
