spotify_title,spotify_artist,release_date,popularity,duration_ms,explicit,is_rock,is_pop,is_jazz,is_electronic,is_classical,is_blues,is_indie,is_hot,cluster
Everyone Make Love,Cool Cavemen,2013,0,235346,0,0,0,0,0,0,0,0,0,4
Calm Da Seas,Dave Hollister,2008,5,258173,0,0,1,0,0,0,0,0,0,4
Ran Kan Kan,Néstor Torres,2002,12,194266,0,0,1,0,0,0,0,0,0,4
Afraid Of Change - Tribal Vocal Mix,Casa Bulga,2008,0,406146,0,0,0,0,0,0,0,0,0,4
"Grow Up, Grow Old",Debbie Davies,2001,0,283933,0,1,0,0,0,0,1,0,0,7
Walk Away From Love,Willie Clayton,2018,8,256165,0,0,1,0,0,0,1,0,0,7
Rainbow Country (Knee Deep's Club Mix),Knee Deep,2004,17,194583,0,0,1,0,0,0,0,0,0,4
Strange Things,Tanto Metro & Devonte,2009,0,158200,0,0,0,0,0,0,0,0,0,4
Screamin' & Hollerin' The Blues,Alvin Youngblood Hart,2005,0,210493,0,0,0,0,0,0,1,0,0,7
Dholna Ve Ranjna,Naseebo Lal,2015,16,296342,0,0,1,0,0,0,0,0,0,0
Parchman Farm,Hot Tuna,1990,1,312306,0,1,1,0,0,0,1,0,0,7
A Lo Clásico,Daddy Yankee,2007,29,235093,1,0,1,0,0,0,0,0,0,3
只想您會意,Hacken Lee,1992,27,260693,0,0,1,0,0,0,0,0,0,0
Amaze,Jimmy Riley,2015,0,218893,0,1,0,0,0,0,0,0,0,2
Radio Rape,The Cortinas,1978,0,221266,0,1,0,0,0,0,0,0,0,2
Ain't No Game,Masta Ace Incorporated,1995,11,295106,1,0,1,0,0,0,0,0,0,3
Cavaleiro De Aruanda,Jongo Trio,2002,10,158106,0,0,1,0,0,0,0,0,0,4
Tell Me Why,George Nooks,2002,0,224160,0,1,0,0,0,0,0,0,0,2
Czwarty,Energy,1999,0,310933,0,0,0,0,0,0,0,0,0,4
Washington Post - 1998 Digital Remaster,John Philip Sousa,1998,1,151413,0,0,1,0,0,0,0,0,0,4
Cavalleria Rusticana,William Orbit,1995,21,199866,0,0,1,0,0,0,0,0,0,4
Forever,Chris Brown,2008,77,278573,0,0,1,0,0,0,0,0,0,4
Amor a Medias,Ha*Ash,2005,53,254826,0,0,1,0,0,0,0,0,0,0
15 Step,Radiohead,2007,64,237293,0,1,1,0,0,0,0,1,0,8
I Love Your Way,Kashief Lindo,2005,1,210520,0,1,1,0,0,0,0,0,0,2
Lookin' for Me Somewhere,Bodeans,1986,23,181733,0,0,1,0,0,0,0,0,0,0
Raise Your Hands,Bon Jovi,1986,49,256733,0,1,1,0,0,0,0,0,0,2
Rainbow Dance,John Tchicai,2013,0,182346,0,0,0,1,0,0,0,0,0,5
Champagne & Reefer,Bongzilla,2005,21,286586,1,1,1,0,0,0,0,0,0,3
No More Doggin',Otis Spann,1969,5,177373,0,0,1,1,0,0,1,0,0,5
I Need a Veggie,John Holt,1978,0,231066,0,1,0,0,0,0,0,0,0,2
Get Happy,Danny Wilson,1991,1,126973,0,0,1,0,0,0,0,0,0,0
I'll Wait For You Dear,Al Dexter,2016,0,156320,0,0,0,0,0,0,0,0,0,4
From Afar,Van Halen,1998,20,324226,0,1,1,0,0,0,0,0,0,2
Cry for Love,Capleton,2009,2,172720,0,1,1,0,0,0,0,0,0,2
Wohär dr Wind wäiht,Kisha,2004,0,203040,0,0,0,0,0,0,0,0,0,4
Volumatic Spacer Device,The Chap,2003,0,231653,0,0,1,0,0,0,0,0,0,0
Putt Jhatt Da Gulabi Phull Varga,Dj Vix,2008,1,98773,0,0,1,0,0,0,0,0,0,4
Namibia,Ziggy Marley & The Melody Makers,1991,5,246466,0,0,1,0,0,0,0,0,0,4
Unlearn,Crematorium,2002,0,210133,0,0,0,0,0,0,0,0,0,4
Vargbrodern Talar,Månegarm,2007,11,92773,0,0,1,0,0,0,0,0,0,4
Sweet Lady - Instrumental,Floyd Lloyd,1996,0,296493,0,0,0,0,0,0,0,0,0,4
Forever More (Francois K & Eric Kupper Vocal Mix),Moloko,2016,29,633901,0,0,1,0,1,0,0,0,0,1
3,Britney Spears,2009,57,213173,0,0,1,0,0,0,0,0,0,0
Meet Me in the City,Junior Kimbrough,2009,42,151360,0,0,1,0,0,0,1,0,0,7
Drama,Liquid Gang,2000,1,226026,0,0,1,0,0,0,0,0,0,4
"Oh, What A Feeling",The Everly Brothers,1960,10,127706,0,1,1,0,0,0,0,0,0,0
Concerto for Saxophone Quartet & Orchestra: Movement IV,Philip Glass,1998,0,229266,0,0,0,0,0,1,0,0,0,6
Llama y Verás,Luis Alberto Spinetta,2001,16,209506,0,1,1,0,0,0,0,0,0,2
هي هي,Ramy Ayach,2002,1,239699,0,0,1,0,0,0,0,0,0,0
Misty Valley,Peter Yorke,2012,2,156746,0,0,1,0,0,0,0,0,0,4
Sehnsuchtsexpress,Frl. Menke,2008,0,217213,0,0,0,0,0,0,0,0,0,4
Come Alive,Agnostic Front,2007,3,122186,0,0,1,0,0,0,0,0,0,4
Spitting Games,Snow Patrol,2004,50,226026,0,1,1,0,0,0,0,0,0,0
Drones,Rise Against,2006,41,181600,0,1,1,0,0,0,0,0,0,0
Check The Bomb,Refractory,2005,1,359093,0,0,1,0,0,0,0,0,0,4
System of Play,Theodor Zox,2007,0,382000,0,0,0,0,0,0,0,0,0,4
Birch,Maximilian Hecker,2005,1,259144,0,0,1,0,0,0,0,0,0,4
Same Old Thing,Albert Collins,1993,3,356200,0,1,1,0,0,0,1,0,0,7
Voodoo Doll,Fergie,2006,22,263040,0,0,1,0,0,0,0,0,0,0
Nerio Compra Una Contestadora,Los Amigos Invisibles,1998,0,24333,0,1,0,0,0,0,0,1,0,8
Killer,Adamski,1990,53,250760,0,0,1,0,0,0,0,0,0,4
Sunset Manifesto,Flink,2007,0,161453,0,0,0,0,0,0,0,0,0,4
From My Hands,Salt The Wound,2009,9,241560,0,0,1,0,0,0,0,0,0,4
Mit Lust tritt ich an diesen Tanz,Ludwig Senfl,1990,4,128520,0,0,1,0,0,0,0,0,0,4
Paradise in Your Eyes,Winston Reedy,2011,15,268696,0,1,1,0,0,0,0,0,0,2
Isku Pitkästä Ilosta,Korpiklaani,2009,19,250840,0,0,1,0,0,0,0,0,0,4
The Way I Am,Eminem,2000,71,290426,1,0,1,0,0,0,0,0,0,3
One More Ride,Johnny Cash,1958,19,118826,0,1,1,0,0,0,0,0,0,2
Can't Help Falling In Love,Brian Dullaghan,2016,0,192173,0,0,0,0,0,0,0,0,0,4
Que Vuelvas,Shakira,1998,54,230800,0,0,1,0,0,0,0,0,0,0
I'm In The Mood For Love,Roger Williams,2000,0,170563,0,0,0,0,0,0,0,0,0,4
Concertino for Bass Trombone and Trombone Choir,Eric Ewazen,2001,1,600106,0,0,1,0,0,0,0,0,0,4
De Tha Mai Edo,Domna Kountouri,2006,9,211226,0,0,1,0,0,0,0,0,0,4
A Goodnight's Sleep,The Starting Line,2002,29,262666,0,0,1,0,0,0,0,1,0,8
"Mui Mal, Animal - Midnight Animal Mix",L.A.V.I,2009,0,487893,0,0,0,0,0,0,0,0,0,4
Cup Horn - Original Mix,Ten Madison,2006,1,344640,0,0,1,0,0,0,0,0,0,4
Am I That Easy to Forget,Carl Belew,1965,28,151080,0,0,1,0,0,0,0,0,0,0
Vitamina,Sonora Carruseles,2015,14,230373,0,0,1,0,0,0,0,0,0,4
The Haunting,Misfits,1997,31,85973,0,0,1,0,0,0,0,0,0,4
Some Kind Of Zombie,Audio Adrenaline,1997,23,285373,0,1,1,0,0,0,0,0,0,2
A Veces Hablo De Ti,Tito Allen,1993,5,322226,0,0,1,0,0,0,0,0,0,4
Old Fashioned Baby '49,Pee Wee Crayton,2015,0,163906,0,0,0,0,0,0,1,0,0,7
Just Say Yes,The Dickies,1990,1,152960,0,0,1,0,0,0,0,0,0,4
Faithkeeper - Part 1,David & Steve Gordon,2002,3,534293,0,0,1,0,0,0,0,0,0,4
Children Of Love,Abijah,2003,0,204786,0,0,0,0,0,0,0,0,0,4
Afro Profondo,Daniela Dessi,2009,0,179186,0,0,0,0,0,1,0,0,0,6
Lihava Enkeli,Murskahumppa,2009,0,163640,0,0,0,0,0,0,0,0,0,4
Killing Me Softly With His Song,CoCo Lee,1999,1,310533,0,0,1,0,0,0,0,0,0,0
Love Theme (The Falling In Love) - Isn’t She Great/Soundtrack Version,Burt Bacharach,1999,2,98373,0,0,1,0,0,0,0,0,0,0
Roller Derby,Leon Russell,1972,18,145493,0,1,1,0,0,0,1,0,0,7
Are You Ever Gonna Love Me?,Jimmy Wayne,2003,11,229960,0,0,1,0,0,0,0,0,0,4
So Deep - Original,Ann Lee,1999,10,255346,0,0,1,0,0,0,0,0,0,4
Collecting Dust,Life Long Tragedy,2008,6,204973,1,0,1,0,0,0,0,0,0,3
You Had Me from Hello,Hushabye Baby,2008,1,223453,0,0,1,0,0,0,0,0,0,4
Nothing's Clear,Ill Niño,2001,26,202133,1,0,1,0,0,0,0,0,0,3
You Must Do Your Best Tonight / I Represent/Animal Crackers,Marx Brothers,2004,0,116386,0,0,0,0,0,0,0,0,0,4
French Suite: A Paris Thing - Re-Recorded and Remastered,William Goldstein,2021,0,282749,0,0,0,0,0,0,0,0,0,4
Oh Scat Mix Up,Tim Exile,2006,0,78213,0,0,1,0,0,0,0,0,0,0
The Modern World,The Jam,1977,36,150626,1,0,1,0,0,0,0,0,0,3
I'm Not a Loser,Descendents,2022,49,88773,1,0,1,0,0,0,0,0,0,3
De Paris Un Caballero,Barbarito Diez,1990,0,157913,0,0,0,0,0,0,0,0,0,4
La rue du babouin (feat. Maurane),Françoise Hardy,2009,5,194200,0,0,1,0,0,0,0,0,0,4
Big Bounce,David Arkenstone,2009,6,274040,0,0,1,0,0,0,0,0,0,4
Summer's Almost Gone,The Doors,1968,45,199426,0,1,1,0,0,0,0,0,0,2
Bubblin',Camp Lo,2016,27,242282,0,0,1,1,0,0,0,0,0,5
Couldn't Stand the Weather,Stevie Ray Vaughan,1984,42,281253,0,1,1,0,0,0,1,0,0,7
In Style,David Johansen,1979,3,247986,0,1,1,0,0,0,0,0,0,2
Closin' Moes,jeff massanari trio,2000,0,253866,0,0,0,0,0,0,0,0,0,4
Portobello Lass,Harry Lauder,2023,0,177640,0,0,0,0,0,0,0,0,0,4
Trumansburg Whistle,Gershon Kingsley,1969,6,180093,0,0,1,0,0,0,0,0,0,4
Reuben James,Kenny Rogers,1977,42,161933,0,1,1,0,0,0,0,0,0,0
Rock Steady - 2015 Remaster,Bad Company,1974,42,226013,0,1,1,0,0,0,0,0,0,2
Sporable,Winifred Phillips,2009,0,142866,0,0,0,0,0,0,0,0,0,4
The Waiting,Zombina & The Skeletones,2006,2,145520,0,0,1,0,0,0,0,0,0,4
Grey Skies Turn Blue,MxPx,2005,24,184040,0,0,1,0,0,0,0,0,0,0
Wraparound Shades,Zumpano,1995,1,228466,0,0,1,0,0,0,0,1,0,8
The Earth Isnt Humming,Thrice,2008,8,298720,0,0,1,0,0,0,0,0,0,4
Champion,Davol,1992,0,264093,0,0,0,0,0,0,0,0,0,4
Year Zero,Thirty Seconds To Mars,2002,26,472333,0,1,1,0,0,0,0,0,0,2
Satisfaction,WhoMadeWho,2005,17,201600,0,0,1,0,1,0,0,1,0,1
I Can't Help Myself,Tyrone Davis,1999,3,277426,0,0,1,0,0,0,0,0,0,4
King Jesus Is My Captain,Birmingham Jubilee Singers,1995,0,183223,0,0,0,0,0,0,0,0,0,4
I've Grown Accustomed to His Face,Shelby Flint,1966,2,121266,0,0,1,0,0,0,0,0,0,4
Profound Sound - Take Two Album Version,Ill Harmonics,2002,0,58986,0,0,0,0,0,0,0,0,0,4
She's My Mary,Lonnie Johnson,2020,0,175940,0,0,0,1,0,0,1,0,0,5
Livin' In a Strain,Alvin Youngblood Hart,1996,3,231066,0,0,1,0,0,0,1,0,0,7
The Little White Cloud That Cried,The Knightsbridge Strings,1959,0,132413,0,0,0,0,0,0,0,0,0,4
Amor que terminó,Los Solitarios,2013,23,179986,0,1,1,0,0,0,0,0,0,2
Tell Me What I Want To Hear,The Dils,2000,1,141866,0,0,1,0,0,0,0,0,0,4
Red Sky,Thrice,2005,39,257746,0,0,1,0,0,0,0,0,0,4
Above The Rainbow,Flora Purim,1977,5,208066,0,0,1,1,0,0,0,0,0,5
Strike While The Iron Is Hot,Kenny Neal,1998,0,181200,0,0,0,0,0,0,1,0,0,7
Shouther to Shouther - 1917 recording,Harry Lauder,2008,1,224626,0,0,1,0,0,0,0,0,0,4
Roméo et Juliette: Premiers transports que nul n'oublie,Hector Berlioz,2011,1,392573,0,0,1,0,0,1,0,0,0,6
Suicide (feat. Bionik),Aceyalone,2007,1,170146,1,0,1,0,0,0,0,0,0,3
Caribou Lou (Album Version (Explicit)),Tech N9ne,2006,58,271813,1,0,1,0,0,0,0,0,0,3
El Vino Triste,Los Auténticos Decadentes,2020,23,173888,0,1,1,0,0,0,0,0,0,2
Wishlist,Pearl Jam,1998,54,206586,0,1,1,0,0,0,0,0,0,2
Playboy - 12 Inch Remix,Teena Marie,1983,3,349506,0,0,1,0,0,0,0,0,0,4
Jugglin&#39; Clown,Christian Quast,2006,0,487656,0,0,0,0,0,0,0,0,0,4
Groovitation,Deodato,1980,11,371333,0,0,1,1,0,0,0,0,0,5
Christmas All The Time - Acoustic,Tom Cochrane,2005,21,204253,0,1,1,0,0,0,0,0,0,2
Role Model,Steel Pulse,2009,4,264000,0,0,1,0,0,0,0,0,0,4
Virtuosite Musette - Polka,Edouard Duleu,1995,1,130066,0,0,1,0,0,0,0,0,0,4
Since The Last Time,Arrested Development,2006,16,220306,0,0,1,0,0,0,0,0,0,4
Michelle,Béla Fleck and the Flecktones,1991,15,309906,0,0,1,0,0,0,0,0,0,4
We've Only Just Begun,Bitty McLean,1995,4,246466,0,1,1,0,0,0,0,0,0,2
Porque Nos Queremos - Single Version,Los Chichos,2013,39,213106,0,0,1,0,0,0,0,0,0,0
Frei zu sein,In Extremo,2008,47,215453,0,1,1,0,0,0,0,0,0,2
Grown & Sexy,DJ Omega,2008,16,204387,0,0,1,0,0,0,0,0,0,4
Épaule tattoo - 2006 Remaster,Étienne Daho,1986,31,282440,0,1,1,0,0,0,0,1,0,8
Goons Lurkin,Plies,2007,27,231640,1,0,1,0,0,0,0,0,0,3
Wolf In Sheep's Clothing,Jeff & Sheri Easter,2006,0,170373,0,0,0,0,0,0,0,0,0,4
Pussy Hole,DJ Nasty,2004,1,194413,1,0,1,0,0,0,0,0,0,3
El Cumbanchero,Günter Noris,1987,19,156640,0,0,1,0,0,0,0,0,0,4
El Divertido,Orquesta La Sublime,2012,0,171960,0,0,0,0,0,0,0,0,0,4
Blackwood Moth,Milieu,2007,2,371866,0,0,1,0,0,0,0,0,0,4
Dreaming Of April,Out Of The Grey,1995,2,225906,0,1,1,0,0,0,0,0,0,2
New Sensation,Snow Patrol,2009,16,214932,0,1,1,0,0,0,0,0,0,0
For The Good Times,Dart,2003,0,340533,0,0,0,0,0,0,0,0,0,4
Clever Girls Like Clever Boys Much More Than Clever Boys Like Clever Girls,Pelle Carlberg,2007,10,248333,0,0,1,0,0,0,0,1,0,8
Never Alone,Open Hand,2003,2,487053,0,0,1,0,0,0,0,0,0,4
Chatterbox,Sex Pistols,2010,19,111080,0,1,1,0,0,0,0,0,0,2
Sporco Ma Distinto,Ennio Morricone,1983,1,119053,0,0,1,0,0,0,0,0,0,4
Elle Et Moi,Koffi Olomide,1990,19,293266,0,0,1,0,0,0,0,0,0,4
Columbus Stockade Blues,Charlie McCoy,1975,5,197800,0,0,1,0,0,0,1,0,0,7
Damn That Radio - Live,The Wreckers,2007,6,211600,0,0,1,0,0,0,0,0,0,0
Camisa Amarela,Gal Costa,1980,25,171866,0,0,1,0,0,0,0,0,0,4
Style,Enuff Z'Nuff,1994,1,182160,0,0,1,0,0,0,0,0,0,0
It's My Party,Lesley Gore,1963,62,140000,0,0,1,0,0,0,0,0,0,0
Keep the Circle Around,Inspiral Carpets,1990,15,230000,0,0,1,0,0,0,0,0,0,0
Wot U Say,Various Production,2008,0,192000,0,0,0,0,0,0,0,0,0,4
幸災樂禍,Eason Chan,2006,9,221813,0,0,1,0,0,0,0,0,0,0
Birth Of The Falls,Stephen Warbeck,2003,0,123626,0,0,0,0,0,0,0,0,0,4
What'll I Do For Satisfaction,Johnny Daye,1991,8,176906,0,0,1,0,0,0,0,0,0,4
For Me This Is Happy,Gene Pitney,2005,0,146653,0,1,1,0,0,0,0,0,0,0
Ithaki,Peggy Zina,2008,1,176355,0,0,1,0,0,0,0,0,0,0
Guilty Partner - 2015 Remaster,New Order,1989,28,286733,0,1,1,0,0,0,0,0,0,0
Delilah,The Sensational Alex Harvey Band,2004,20,312333,0,1,1,0,0,0,0,0,0,2
La Rosa,Bobby Pulido,1996,46,184920,0,0,1,0,0,0,0,0,0,4
Our Lady of Fatima (Original Mix),Kitty Kallen,2018,0,167523,0,0,0,0,0,0,0,0,0,4
Syvä meri,Kari Tapio,2016,0,161360,0,0,1,0,0,0,0,0,0,0
I Got A Seecret,Redman,1998,17,209600,1,0,1,0,0,0,0,0,0,3
Te Miattad Változott Meg Az Életem,Belami,2007,0,237213,0,0,0,0,0,0,0,0,0,4
Banda Yango,Tshala Muana,1996,7,390626,0,0,1,0,0,0,0,0,0,4
Song For Love,Extreme,1990,31,355600,0,1,1,0,0,0,0,0,0,2
Nachts Um Halb Drei,Janina,2010,0,190426,0,0,0,0,0,0,0,0,0,4
Iron Man,Mat Maneri,2001,0,193333,0,0,0,1,0,0,0,0,0,5
"I Constantly Thank God for Esteban - Live at Congress Theater, Chicago, IL, 2008",Panic! At The Disco,2008,24,253240,0,0,1,0,0,0,0,0,0,0
000grandpno,Pumpkin Buzzard,2009,0,46053,0,0,0,0,0,0,0,0,0,4
Pai Keros,Christos Dantis,1984,4,248693,0,0,1,0,0,0,0,0,0,0
Tuesday Afternoon (Forever Afternoon),The Moody Blues,2017,47,249004,0,1,1,0,0,0,0,0,0,2
As We Lay,Fiona,2010,0,228680,0,0,0,0,0,0,0,0,0,4
Forever You Reign,Nicole C. Mullen,2009,3,240626,0,1,1,0,0,0,0,0,0,2
"Tema Da Desilusão - Trilha Sonora Do Filme ""Garota De Ipanema""",Orquestra Da Trilha Sonora Do Filme Garota De Ipanema,1967,3,87533,0,0,1,0,0,0,0,0,0,4
The Anthem,Hatiras,2006,0,327306,0,0,0,0,0,0,0,0,0,4
Disco Trafiko,Trafik,2004,0,265760,0,0,0,0,0,0,0,0,0,4
Rant Kanaria,Jope Ruonansuu,2009,0,211640,0,1,1,0,0,0,0,0,0,0
Clavelitos,Joselito,2001,29,159760,0,0,1,0,0,0,0,0,0,4
Tomorrows Girls,U.K. Subs,1979,26,143773,0,0,1,0,0,0,0,0,0,4
O Dikos Sou DJ,Imiskoubria,2004,6,208453,0,0,1,0,0,0,0,0,0,4
Little Brother,Grizzly Bear,2006,23,384680,0,1,1,0,0,0,0,1,0,8
Polly,Nirvana,1991,59,173853,0,1,1,0,0,0,0,0,0,2
Ol' Frank,George Jones,1986,8,166493,0,1,1,0,0,0,0,0,0,0
Be Aware,SOJA,2006,22,250802,0,0,1,0,0,0,0,0,0,4
The Chance,Julie Roberts,2004,15,287520,0,0,1,0,0,0,0,0,0,4
Abbeville Fair,Seatrain,1973,1,294480,0,1,1,0,0,0,0,0,0,2
My Life Is Totally Boring Without You,Cracker,1998,3,197706,0,1,1,0,0,0,0,0,0,0
Calliope,Al Di Meola,1983,3,257293,0,0,1,1,0,0,0,0,0,5
Aya Benzer 2003 (Moonlight) - Single Version,Mustafa Sandal,2003,25,239133,0,0,1,0,0,0,0,0,0,0
Fire in the Hole,The Elders,2005,8,241737,0,1,1,0,0,0,0,0,0,2
So Different Blues,Mance Lipscomb,2009,1,184893,0,0,1,0,0,0,1,0,0,7
Cuantas madres llorando,Los Chunguitos,2007,0,174693,0,0,1,0,0,0,0,0,0,0
Opening,Harald Kloser,2008,9,163240,0,0,1,0,0,0,0,0,0,4
Lived My Life,Singing Melody,2006,2,235706,0,1,1,0,0,0,0,0,0,2
Dipset (Santana's Town) (Skit),Juelz Santana,2003,8,76600,1,0,1,0,0,0,0,0,0,3
"Do You See the Light? (Looking For) (feat. Niki Haris) (7"" Edit)",SNAP!,2009,40,254791,0,0,1,0,0,0,0,0,0,4
Pépètes,Java,2000,26,240760,0,1,1,0,0,0,0,0,0,0
3500 (feat. Future & 2 Chainz),Travis Scott,2015,67,461840,1,0,1,0,0,0,0,0,0,3
Save My Soul - Gabriel & Dresden Bootleg Mix,Kristine W,2004,19,538853,0,0,1,0,0,0,0,0,0,4
Buenos Aires (De Tus Amores),León Gieco,2001,24,307666,0,1,1,0,0,0,0,0,0,2
It's Four in the Morning,Faron Young,1963,40,169063,0,0,1,0,0,0,0,0,0,0
Song Without End,Paul Avgerinos,2001,0,324506,0,0,0,0,0,0,0,0,0,4
Supermassive Black Hole,Muse,2006,77,212439,0,1,1,0,0,0,0,0,0,2
Show Me,Seal,1991,25,359960,0,0,1,0,0,0,0,0,0,0
Background Music: The Greatest Ever Punk Sing-Along! - Live,The Prefects,2006,0,266573,0,0,0,0,0,0,0,0,0,4
Y.O.U.,Lonestar,2010,3,214133,0,0,1,0,0,0,0,0,0,4
6th Avenue Nightmare,Pennywise,2005,14,159706,0,0,1,0,0,0,0,0,0,0
Cuatro Estrofas,Sandra Mihanovich,1982,19,157413,0,1,1,0,0,0,0,0,0,2
Climax,Slum Village,2007,51,211892,1,0,1,0,0,0,0,0,0,3
Give It Up or Let Me Go,The Chicks,1998,31,296313,0,0,1,0,0,0,0,0,0,4
Le Chat du Café des Artistes,Charlotte Gainsbourg,2009,29,241653,0,0,1,0,0,0,0,0,0,0
Joy to the World,Boots Randolph,2009,0,213506,0,0,0,0,0,0,0,0,0,4
Don't Know How To Be,God Lives Underwater,1995,10,215360,0,1,1,0,0,0,0,1,0,8
I'm Back,Eminem,2000,58,309760,1,0,1,0,0,0,0,0,0,3
Althea Cooley,Mack and Jamie,2002,0,27626,0,0,0,0,0,0,0,0,0,4
Yearning Just For You,Bob Wills,1994,15,160533,0,0,1,0,0,0,0,0,0,4
Sincerely,Don & Juan,2009,1,148173,0,0,1,0,0,0,1,0,0,7
Road To Bali: The Merry-Go-Runaround,Bob Hope,2004,1,184706,0,0,1,0,0,0,0,0,0,4
Canción De Títeres,María Elena Walsh,2011,31,119480,0,0,1,0,0,0,0,0,0,4
Devil's Daughter,Eric Burdon,2011,0,244213,0,0,0,0,0,0,1,0,0,7
Question Authority,Circle Jerks,1982,31,117693,0,0,1,0,0,0,0,0,0,4
Loup Garou,Willy DeVille,1996,9,291906,0,0,1,0,0,0,0,0,0,4
Oh No,Daniel Johnston,1984,5,236317,0,1,1,0,0,0,0,0,0,0
So Many Reasons - Homecoming Classics Vol. 11 Album Version,Jake Hess,2004,4,172453,0,0,1,0,0,0,0,0,0,4
32 Lines,Sophie B. Hawkins,1999,7,302866,0,0,1,0,0,0,0,0,0,0
Dragonfly,Diesel Boy,1998,4,140013,0,0,1,0,0,0,0,0,0,4
Fading Lady Light,Jefferson Starship,1979,16,220533,0,1,1,0,0,0,0,0,0,2
The Croppy Boy,The Irish Tenors,2010,3,284733,0,0,1,0,0,0,0,0,0,4
Many Are We,Keep Of Kalessin,2006,7,292426,1,0,1,0,0,0,0,0,0,3
Play The Part,Eyes Set To Kill,2010,19,159053,0,0,1,0,0,0,0,0,0,4
Cajun Honey,Rod Bernard,2000,0,102959,0,0,1,0,0,0,0,0,0,0
Sloppy (I Saw My Baby Gettin'),DEVO,1993,12,160266,0,1,1,0,0,0,0,0,0,0
Caseta del Plater,Pep Laguarda & Tapineria,2004,5,340933,0,0,1,0,0,0,0,0,0,4
2 People - The One Extended Mix,Ann Lee,2009,2,376992,0,0,1,0,0,0,0,0,0,4
In Fate's Hands,The Red Jumpsuit Apparatus,2006,47,209226,0,0,1,0,0,0,0,0,0,0
"Tem Dó De Mim - Live At El Matador, San Francisco, CA / 1965",Sérgio Mendes,1965,6,161586,0,0,1,1,0,0,0,0,0,5
Salvation,Chroma Key,2004,6,160506,0,0,1,0,0,0,0,0,0,4
Till There Was You - Gabriel & Dresden Club,Rachael Starr,2006,26,531951,0,0,1,0,0,0,0,0,0,4
A história do incêndio do jequitibá de Carangola,Hélio Ziskind,2002,7,596546,0,0,1,0,0,0,0,0,0,4
Shame,ABREU,2007,6,203493,0,0,1,0,0,0,0,0,0,0
"Arise, My Love (Song Of Solomon)",Michael Card,1990,17,210933,0,0,1,0,0,0,0,0,0,4
Two Guitars Shuffle - Take 2,Lonnie Brooks,2000,29,376866,0,0,1,0,0,0,1,0,0,7
What If I Forget the Champagne,Stanley Clarke,1976,3,312533,0,0,1,1,0,0,0,0,0,5
Listen,Mykill Miers,2006,0,236506,0,0,0,0,0,0,0,0,0,4
Elementro - Original Mix,Ten Madison,2004,0,405373,0,0,0,0,0,0,0,0,0,4
Meteor Of War,Rancid,2000,18,81066,0,0,1,0,0,0,0,0,0,4
